Geographic Area,County,State,Abbreviation,2019 Population _ Census
"Lee County, Arkansas",Lee, Arkansas, ArkansasLee,8857
"Lincoln County, Arkansas",Lincoln, Arkansas, ArkansasLincoln,13024
"Little River County, Arkansas",Little, Arkansas, ArkansasLittle,12259
"Logan County, Arkansas",Logan, Arkansas, ArkansasLogan,21466
"Lonoke County, Arkansas",Lonoke, Arkansas, ArkansasLonoke,73309
"Madison County, Arkansas",Madison, Arkansas, ArkansasMadison,16576
"Marion County, Arkansas",Marion, Arkansas, ArkansasMarion,16694
"Miller County, Arkansas",Miller, Arkansas, ArkansasMiller,43257
"Mississippi County, Arkansas",Mississippi, Arkansas, ArkansasMississippi,40651
"Monroe County, Arkansas",Monroe, Arkansas, ArkansasMonroe,6701
"Montgomery County, Arkansas",Montgomery, Arkansas, ArkansasMontgomery,8986
"Nevada County, Arkansas",Nevada, Arkansas, ArkansasNevada,8252
"Newton County, Arkansas",Newton, Arkansas, ArkansasNewton,7753
"Ouachita County, Arkansas",Ouachita, Arkansas, ArkansasOuachita,23382
"Perry County, Arkansas",Perry, Arkansas, ArkansasPerry,10455
"Phillips County, Arkansas",Phillips, Arkansas, ArkansasPhillips,17782
"Pike County, Arkansas",Pike, Arkansas, ArkansasPike,10718
"Poinsett County, Arkansas",Poinsett, Arkansas, ArkansasPoinsett,23528
"Polk County, Arkansas",Polk, Arkansas, ArkansasPolk,19964
"Pope County, Arkansas",Pope, Arkansas, ArkansasPope,64072
"Prairie County, Arkansas",Prairie, Arkansas, ArkansasPrairie,8062
"Pulaski County, Arkansas",Pulaski, Arkansas, ArkansasPulaski,391911
"Randolph County, Arkansas",Randolph, Arkansas, ArkansasRandolph,17958
"St Francis County, Arkansas",St, Arkansas, ArkansasSt,24994
"Saline County, Arkansas",Saline, Arkansas, ArkansasSaline,122437
"Scott County, Arkansas",Scott, Arkansas, ArkansasScott,10281
"Searcy County, Arkansas",Searcy, Arkansas, ArkansasSearcy,7881
"Sebastian County, Arkansas",Sebastian, Arkansas, ArkansasSebastian,127827
"Sevier County, Arkansas",Sevier, Arkansas, ArkansasSevier,17007
"Sharp County, Arkansas",Sharp, Arkansas, ArkansasSharp,17442
"Stone County, Arkansas",Stone, Arkansas, ArkansasStone,12506
"Union County, Arkansas",Union, Arkansas, ArkansasUnion,38682
"Van Buren County, Arkansas",Van, Arkansas, ArkansasVan,16545
"Washington County, Arkansas",Washington, Arkansas, ArkansasWashington,239187
"White County, Arkansas",White, Arkansas, ArkansasWhite,78753
"Woodruff County, Arkansas",Woodruff, Arkansas, ArkansasWoodruff,6320
"Yell County, Arkansas",Yell, Arkansas, ArkansasYell,21341
"Alameda County, California",Alameda, California, CaliforniaAlameda,1671329
"Alpine County, California",Alpine, California, CaliforniaAlpine,1129
"Amador County, California",Amador, California, CaliforniaAmador,39752
"Butte County, California",Butte, California, CaliforniaButte,219186
"Calaveras County, California",Calaveras, California, CaliforniaCalaveras,45905
"Colusa County, California",Colusa, California, CaliforniaColusa,21547
"Contra Costa County, California",Contra, California, CaliforniaContra,1153526
"Del Norte County, California",Del, California, CaliforniaDel,27812
"El Dorado County, California",El, California, CaliforniaEl,192843
"Fresno County, California",Fresno, California, CaliforniaFresno,999101
"Glenn County, California",Glenn, California, CaliforniaGlenn,28393
"Humboldt County, California",Humboldt, California, CaliforniaHumboldt,135558
"Imperial County, California",Imperial, California, CaliforniaImperial,181215
"Inyo County, California",Inyo, California, CaliforniaInyo,18039
"Kern County, California",Kern, California, CaliforniaKern,900202
"Kings County, California",Kings, California, CaliforniaKings,152940
"Lake County, California",Lake, California, CaliforniaLake,64386
"Lassen County, California",Lassen, California, CaliforniaLassen,30573
"Los Angeles County, California",Los, California, CaliforniaLos,10039107
"Madera County, California",Madera, California, CaliforniaMadera,157327
"Marin County, California",Marin, California, CaliforniaMarin,258826
"Mariposa County, California",Mariposa, California, CaliforniaMariposa,17203
"Mendocino County, California",Mendocino, California, CaliforniaMendocino,86749
"Merced County, California",Merced, California, CaliforniaMerced,277680
"Modoc County, California",Modoc, California, CaliforniaModoc,8841
"Mono County, California",Mono, California, CaliforniaMono,14444
"Monterey County, California",Monterey, California, CaliforniaMonterey,434061
"Napa County, California",Napa, California, CaliforniaNapa,137744
"Nevada County, California",Nevada, California, CaliforniaNevada,99755
"Orange County, California",Orange, California, CaliforniaOrange,3175692
"Placer County, California",Placer, California, CaliforniaPlacer,398329
"Plumas County, California",Plumas, California, CaliforniaPlumas,18807
"Riverside County, California",Riverside, California, CaliforniaRiverside,2470546
"Sacramento County, California",Sacramento, California, CaliforniaSacramento,1552058
"San Benito County, California",SanBenito, California, CaliforniaSanBenito,62808
"San Bernardino County, California",SanBernardino, California, CaliforniaSanBernardino,2180085
"San Diego County, California",SanDiego, California, CaliforniaSanDiego,3338330
"San Francisco County, California",SanFrancisco, California, CaliforniaSanFrancisco,881549
"San Joaquin County, California",SanJoaquin, California, CaliforniaSanJoaquin,762148
"San Luis Obispo County, California",SanLuis, California, CaliforniaSanLuis,283111
"San Mateo County, California",SanMateo, California, CaliforniaSanMateo,766573
"Santa Barbara County, California",SantaBarbara, California, CaliforniaSantaBarbara,446499
"Santa Clara County, California",SantaClara, California, CaliforniaSantaClara,1927852
"Santa Cruz County, California",SantaCruz, California, CaliforniaSantaCruz,273213
"Shasta County, California",Shasta, California, CaliforniaShasta,180080
"Sierra County, California",Sierra, California, CaliforniaSierra,3005
"Siskiyou County, California",Siskiyou, California, CaliforniaSiskiyou,43539
"Solano County, California",Solano, California, CaliforniaSolano,447643
"Sonoma County, California",Sonoma, California, CaliforniaSonoma,494336
"Stanislaus County, California",Stanislaus, California, CaliforniaStanislaus,550660
"Sutter County, California",Sutter, California, CaliforniaSutter,96971
"Tehama County, California",Tehama, California, CaliforniaTehama,65084
"Trinity County, California",Trinity, California, CaliforniaTrinity,12285
"Tulare County, California",Tulare, California, CaliforniaTulare,466195
"Tuolumne County, California",Tuolumne, California, CaliforniaTuolumne,54478
"Ventura County, California",Ventura, California, CaliforniaVentura,846006
"Yolo County, California",Yolo, California, CaliforniaYolo,220500
"Yuba County, California",Yuba, California, CaliforniaYuba,78668
"Adams County, Colorado",Adams, Colorado, ColoradoAdams,517421
"Alamosa County, Colorado",Alamosa, Colorado, ColoradoAlamosa,16233
"Arapahoe County, Colorado",Arapahoe, Colorado, ColoradoArapahoe,656590
"Archuleta County, Colorado",Archuleta, Colorado, ColoradoArchuleta,14029
"Baca County, Colorado",Baca, Colorado, ColoradoBaca,3581
"Bent County, Colorado",Bent, Colorado, ColoradoBent,5577
"Boulder County, Colorado",Boulder, Colorado, ColoradoBoulder,326196
"Broomfield County, Colorado",Broomfield, Colorado, ColoradoBroomfield,70465
"Chaffee County, Colorado",Chaffee, Colorado, ColoradoChaffee,20356
"Cheyenne County, Colorado",Cheyenne, Colorado, ColoradoCheyenne,1831
"Clear Creek County, Colorado",Clear, Colorado, ColoradoClear,9700
"Conejos County, Colorado",Conejos, Colorado, ColoradoConejos,8205
"Costilla County, Colorado",Costilla, Colorado, ColoradoCostilla,3887
"Crowley County, Colorado",Crowley, Colorado, ColoradoCrowley,6061
"Custer County, Colorado",Custer, Colorado, ColoradoCuster,5068
"Delta County, Colorado",Delta, Colorado, ColoradoDelta,31162
"Denver County, Colorado",Denver, Colorado, ColoradoDenver,727211
"Dolores County, Colorado",Dolores, Colorado, ColoradoDolores,2055
"Douglas County, Colorado",Douglas, Colorado, ColoradoDouglas,351154
"Eagle County, Colorado",Eagle, Colorado, ColoradoEagle,55127
"Elbert County, Colorado",Elbert, Colorado, ColoradoElbert,26729
"El Paso County, Colorado",El, Colorado, ColoradoEl,720403
"Fremont County, Colorado",Fremont, Colorado, ColoradoFremont,47839
"Garfield County, Colorado",Garfield, Colorado, ColoradoGarfield,60061
"Gilpin County, Colorado",Gilpin, Colorado, ColoradoGilpin,6243
"Grand County, Colorado",Grand, Colorado, ColoradoGrand,15734
"Gunnison County, Colorado",Gunnison, Colorado, ColoradoGunnison,17462
"Hinsdale County, Colorado",Hinsdale, Colorado, ColoradoHinsdale,820
"Huerfano County, Colorado",Huerfano, Colorado, ColoradoHuerfano,6897
"Jackson County, Colorado",Jackson, Colorado, ColoradoJackson,1392
"Jefferson County, Colorado",Jefferson, Colorado, ColoradoJefferson,582881
"Kiowa County, Colorado",Kiowa, Colorado, ColoradoKiowa,1406
"Kit Carson County, Colorado",Kit, Colorado, ColoradoKit,7097
"Lake County, Colorado",Lake, Colorado, ColoradoLake,8127
"La Plata County, Colorado",La, Colorado, ColoradoLa,56221
"Larimer County, Colorado",Larimer, Colorado, ColoradoLarimer,356899
"Las Animas County, Colorado",Las, Colorado, ColoradoLas,14506
"Lincoln County, Colorado",Lincoln, Colorado, ColoradoLincoln,5701
"Logan County, Colorado",Logan, Colorado, ColoradoLogan,22409
"Mesa County, Colorado",Mesa, Colorado, ColoradoMesa,154210
"Mineral County, Colorado",Mineral, Colorado, ColoradoMineral,769
"Moffat County, Colorado",Moffat, Colorado, ColoradoMoffat,13283
"Montezuma County, Colorado",Montezuma, Colorado, ColoradoMontezuma,26183
"Montrose County, Colorado",Montrose, Colorado, ColoradoMontrose,42758
"Morgan County, Colorado",Morgan, Colorado, ColoradoMorgan,29068
"Otero County, Colorado",Otero, Colorado, ColoradoOtero,18278
"Ouray County, Colorado",Ouray, Colorado, ColoradoOuray,4952
"Park County, Colorado",Park, Colorado, ColoradoPark,18845
"Phillips County, Colorado",Phillips, Colorado, ColoradoPhillips,4265
"Pitkin County, Colorado",Pitkin, Colorado, ColoradoPitkin,17767
"Prowers County, Colorado",Prowers, Colorado, ColoradoProwers,12172
"Pueblo County, Colorado",Pueblo, Colorado, ColoradoPueblo,168424
"Rio Blanco County, Colorado",Rio, Colorado, ColoradoRio,6324
"Rio Grande County, Colorado",Rio, Colorado, ColoradoRio,11267
"Routt County, Colorado",Routt, Colorado, ColoradoRoutt,25638
"Saguache County, Colorado",Saguache, Colorado, ColoradoSaguache,6824
"San Juan County, Colorado",SanJuan, Colorado, ColoradoSanJuan,728
"San Miguel County, Colorado",SanMiguel, Colorado, ColoradoSanMiguel,8179
"Sedgwick County, Colorado",Sedgwick, Colorado, ColoradoSedgwick,2248
"Summit County, Colorado",Summit, Colorado, ColoradoSummit,31011
"Teller County, Colorado",Teller, Colorado, ColoradoTeller,25388
"Washington County, Colorado",Washington, Colorado, ColoradoWashington,4908
"Weld County, Colorado",Weld, Colorado, ColoradoWeld,324492
"Yuma County, Colorado",Yuma, Colorado, ColoradoYuma,10019
"Fairfield County, Connecticut",Fairfield, Connecticut, ConnecticutFairfield,943332
"Hartford County, Connecticut",Hartford, Connecticut, ConnecticutHartford,891720
"Litchfield County, Connecticut",Litchfield, Connecticut, ConnecticutLitchfield,180333
"Middlesex County, Connecticut",Middlesex, Connecticut, ConnecticutMiddlesex,162436
"New Haven County, Connecticut",New, Connecticut, ConnecticutNew,854757
"New London County, Connecticut",New, Connecticut, ConnecticutNew,265206
"Tolland County, Connecticut",Tolland, Connecticut, ConnecticutTolland,150721
"Windham County, Connecticut",Windham, Connecticut, ConnecticutWindham,116782
"Kent County, Delaware",Kent, Delaware, DelawareKent,180786
"New Castle County, Delaware",New, Delaware, DelawareNew,558753
"Sussex County, Delaware",Sussex, Delaware, DelawareSussex,234225
"District of Columbia, District of Columbia",District, District of Columbia, District of ColumbiaDistrict,705749
"Alachua County, Florida",Alachua, Florida, FloridaAlachua,269043
"Baker County, Florida",Baker, Florida, FloridaBaker,29210
"Bay County, Florida",Bay, Florida, FloridaBay,174705
"Bradford County, Florida",Bradford, Florida, FloridaBradford,28201
"Brevard County, Florida",Brevard, Florida, FloridaBrevard,601942
"Broward County, Florida",Broward, Florida, FloridaBroward,1952778
"Calhoun County, Florida",Calhoun, Florida, FloridaCalhoun,14105
"Charlotte County, Florida",Charlotte, Florida, FloridaCharlotte,188910
"Citrus County, Florida",Citrus, Florida, FloridaCitrus,149657
"Clay County, Florida",Clay, Florida, FloridaClay,219252
"Collier County, Florida",Collier, Florida, FloridaCollier,384902
"Columbia County, Florida",Columbia, Florida, FloridaColumbia,71686
"DeSoto County, Florida",DeSoto, Florida, FloridaDeSoto,38001
"Dixie County, Florida",Dixie, Florida, FloridaDixie,16826
"Duval County, Florida",Duval, Florida, FloridaDuval,957755
"Escambia County, Florida",Escambia, Florida, FloridaEscambia,318316
"Flagler County, Florida",Flagler, Florida, FloridaFlagler,115081
"Franklin County, Florida",Franklin, Florida, FloridaFranklin,12125
"Gadsden County, Florida",Gadsden, Florida, FloridaGadsden,45660
"Gilchrist County, Florida",Gilchrist, Florida, FloridaGilchrist,18582
"Glades County, Florida",Glades, Florida, FloridaGlades,13811
"Gulf County, Florida",Gulf, Florida, FloridaGulf,13639
"Hamilton County, Florida",Hamilton, Florida, FloridaHamilton,14428
"Hardee County, Florida",Hardee, Florida, FloridaHardee,26937
"Hendry County, Florida",Hendry, Florida, FloridaHendry,42022
"Hernando County, Florida",Hernando, Florida, FloridaHernando,193920
"Highlands County, Florida",Highlands, Florida, FloridaHighlands,106221
"Hillsborough County, Florida",Hillsborough, Florida, FloridaHillsborough,1471968
"Holmes County, Florida",Holmes, Florida, FloridaHolmes,19617
"Indian River County, Florida",Indian, Florida, FloridaIndian,159923
"Jackson County, Florida",Jackson, Florida, FloridaJackson,46414
"Jefferson County, Florida",Jefferson, Florida, FloridaJefferson,14246
"Lafayette County, Florida",Lafayette, Florida, FloridaLafayette,8422
"Lake County, Florida",Lake, Florida, FloridaLake,367118
"Lee County, Florida",Lee, Florida, FloridaLee,770577
"Leon County, Florida",Leon, Florida, FloridaLeon,293582
"Levy County, Florida",Levy, Florida, FloridaLevy,41503
"Liberty County, Florida",Liberty, Florida, FloridaLiberty,8354
"Madison County, Florida",Madison, Florida, FloridaMadison,18493
"Manatee County, Florida",Manatee, Florida, FloridaManatee,403253
"Marion County, Florida",Marion, Florida, FloridaMarion,365579
"Martin County, Florida",Martin, Florida, FloridaMartin,161000
"Miami-Dade County, Florida",Miami-Dade, Florida, FloridaMiami-Dade,2716940
"Monroe County, Florida",Monroe, Florida, FloridaMonroe,74228
"Nassau County, Florida",Nassau, Florida, FloridaNassau,88625
"Okaloosa County, Florida",Okaloosa, Florida, FloridaOkaloosa,210738
"Okeechobee County, Florida",Okeechobee, Florida, FloridaOkeechobee,42168
"Orange County, Florida",Orange, Florida, FloridaOrange,1393452
"Osceola County, Florida",Osceola, Florida, FloridaOsceola,375751
"Palm Beach County, Florida",Palm, Florida, FloridaPalm,1496770
"Pasco County, Florida",Pasco, Florida, FloridaPasco,553947
"Pinellas County, Florida",Pinellas, Florida, FloridaPinellas,974996
"Polk County, Florida",Polk, Florida, FloridaPolk,724777
"Putnam County, Florida",Putnam, Florida, FloridaPutnam,74521
"St Johns County, Florida",St, Florida, FloridaSt,264672
"St Lucie County, Florida",St, Florida, FloridaSt,328297
"Santa Rosa County, Florida",Santa, Florida, FloridaSanta,184313
"Sarasota County, Florida",Sarasota, Florida, FloridaSarasota,433742
"Seminole County, Florida",Seminole, Florida, FloridaSeminole,471826
"Sumter County, Florida",Sumter, Florida, FloridaSumter,132420
"Suwannee County, Florida",Suwannee, Florida, FloridaSuwannee,44417
"Taylor County, Florida",Taylor, Florida, FloridaTaylor,21569
"Union County, Florida",Union, Florida, FloridaUnion,15237
"Volusia County, Florida",Volusia, Florida, FloridaVolusia,553284
"Wakulla County, Florida",Wakulla, Florida, FloridaWakulla,33739
"Walton County, Florida",Walton, Florida, FloridaWalton,74071
"Washington County, Florida",Washington, Florida, FloridaWashington,25473
"Appling County, Georgia",Appling, Georgia, GeorgiaAppling,18386
"Atkinson County, Georgia",Atkinson, Georgia, GeorgiaAtkinson,8165
"Bacon County, Georgia",Bacon, Georgia, GeorgiaBacon,11164
"Baker County, Georgia",Baker, Georgia, GeorgiaBaker,3038
"Baldwin County, Georgia",Baldwin, Georgia, GeorgiaBaldwin,44890
"Banks County, Georgia",Banks, Georgia, GeorgiaBanks,19234
"Barrow County, Georgia",Barrow, Georgia, GeorgiaBarrow,83240
"Bartow County, Georgia",Bartow, Georgia, GeorgiaBartow,107738
"Ben Hill County, Georgia",Ben, Georgia, GeorgiaBen,16700
"Berrien County, Georgia",Berrien, Georgia, GeorgiaBerrien,19397
"Bibb County, Georgia",Bibb, Georgia, GeorgiaBibb,153159
"Bleckley County, Georgia",Bleckley, Georgia, GeorgiaBleckley,12873
"Brantley County, Georgia",Brantley, Georgia, GeorgiaBrantley,19109
"Brooks County, Georgia",Brooks, Georgia, GeorgiaBrooks,15457
"Bryan County, Georgia",Bryan, Georgia, GeorgiaBryan,39627
"Bulloch County, Georgia",Bulloch, Georgia, GeorgiaBulloch,79608
"Burke County, Georgia",Burke, Georgia, GeorgiaBurke,22383
"Butts County, Georgia",Butts, Georgia, GeorgiaButts,24936
"Calhoun County, Georgia",Calhoun, Georgia, GeorgiaCalhoun,6189
"Camden County, Georgia",Camden, Georgia, GeorgiaCamden,54666
